Name,Team,Pos,mlbam,Age,Draft,Highest Level,B/T,Hgt/Wgt,Rank,Avg,Baseball America,Baseball HQ,Baseball Prospectus,CBS Sports,Dynasty Dugout,ESPN,Fangraphs,Fantasy Alarm,Fantasy Six Pack,Imaginary Brick Wall,Just Baseball,MLB Pipeline,NBC Sports,Prospect 361,Prospects Live,Razzball,Roto- Baller,Roto- Prospects,Rotowire,The Athletic,TJStats
"Dinges, Marco",MIL,C,701392,22.5,2024 #123,A+,R/R,"5'11"" 190",243,195.57,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Davalillo, Gabriel",LAA,C,829058,18.3,2025 FA,R,R/R,"5'11"" 210",244,196.24,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Tibbs, James III",LAD,OF,696486,23.4,2024 #13,AA,L/L,"6'0"" 201",245,197.52,Paywall,Paywall,150,150,Paywall,131,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Eagen, Daniel",ARI,P,811666,23.2,2024 #102,AA,R/R,"6'4"" 205",246,197.86,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Flores, Rafael",PIT,SS,821012,18.9,2024 FA,R,R/R,"5'10"" 172",247,198.14,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Areinamo, Jadher",TB,2B,699130,22.2,2021 FA,AA,R/R,"5'8"" 160",248,198.38,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Harlan, Chase",LAD,3B,815792,19.6,2024 #98,A,R/R,"6'3"" 205",249,198.43,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Pinango, Yohendrick",TOR,OF,682818,23.8,2018 FA,AAA,L/L,"5'11"" 170",250,198.67,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Peete, Tai",STL,OF,806191,20.5,2023 #30,A+,L/R,"6'2"" 193",251,198.76,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Nett, Braden",ATH,P,804556,23.7,2022 FA,AA,R/R,"6'3"" 185",252,199.71,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Caba, Starlyn",MIA,SS,806965,20.2,2023 FA,A,S/R,"5'9"" 160",253,200.00,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,78,150,150,187,150,Paywall,168,150
"Burke, Blake",MIL,1B,695501,22.7,2024 #34,AA,L/L,"6'3"" 236",254,200.10,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Riggio, Roc",COL,2B,691792,23.7,2023 #129,AA,L/R,"5'9"" 180",255,200.71,Paywall,Paywall,150,100,Paywall,120,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Alvarez, Hayden",LAA,OF,820986,18.9,2024 FA,A,R/R,"6'3"" 190",255,200.71,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Nori, Dante",PHI,OF,807276,21.4,2024 #27,AA,L/L,"5'9"" 190",257,200.76,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Ehrhard, Zach",LAD,OF,701394,23.1,2024 #115,AA,R/R,"5'10"" 190",257,200.76,Paywall,Paywall,150,150,Paywall,111,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Harmon, Landon",WAS,P,816102,19.4,2025 #80,,R/R,"6'5"" 190",259,200.90,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Mitchell, Ryan",STL,OF,815829,19.1,2025 #55,,L/R,"6'2"" 185",260,201.33,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"McKenzie, Briggs",ATL,P,828987,19.4,2025 #127,,L/L,"6'2"" 190",261,202.24,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"George, Kendall",LAD,OF,806077,21.3,2023 #36,A+,L/L,"5'9"" 170",262,203.00,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Cova, Luis",MIA,OF,815909,19.1,2024 FA,R,R/R,"6'1"" 160",263,203.71,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Root, Zachary",LAD,P,702539,22.0,2025 #40,,L/L,"6'2"" 210",264,204.19,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Bernal, Leonardo",STL,C,699024,22.0,2021 FA,AA,S/R,"6'0"" 245",265,204.29,Paywall,Paywall,150,150,Paywall,98,165,92,Paywall,Paywall,150,98,150,Paywall,150,150,187,150,Paywall,168,150
"Bitonti, Eric",MIL,SS,800724,20.3,2023 #87,A,L/R,"6'4"" 218",266,204.52,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Forbes, Patrick",ARI,P,804467,21.6,2025 #29,,R/R,"6'3"" 220",267,204.76,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Tidwell, Blade",SF,P,694918,24.7,2022 #52,MLB,R/R,"6'4"" 207",268,205.48,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Groover, LuJames",ARI,3B,694410,23.8,2023 #48,AA,R/R,"6'2"" 212",269,205.52,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Russell, AJ",TEX,P,805706,21.6,2025 #52,,R/R,"6'6"" 223",270,205.67,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Owens, Josh",TEX,TWP,831384,19.1,2025 #84,A,L/R,"6'3"" 185",271,205.81,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Flewelling, Nathan",TB,C,807083,19.3,2024 #94,A+,L/R,"6'2"" 200",272,206.67,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,106,150
"Pecko, Ethan",HOU,P,814490,23.5,2023 #194,AAA,R/R,"6'2"" 195",273,206.95,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"James, Coy",WAS,SS,815983,19.0,2025 #142,,R/R,"6'0"" 185",274,207.00,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Phillips, Marcus",BOS,P,815071,21.6,2025 #33,,R/R,"6'4"" 246",275,207.52,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Ortiz, Abimelec",WAS,1B,694673,24.0,2021 FA,AAA,L/L,"5'10"" 230",276,207.76,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,86,187,150,Paywall,168,150
"Milbrandt, Karson",MIA,P,703596,21.8,2022 #85,AA,R/R,"6'2"" 190",277,208.24,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Cannarella, Cam",MIA,OF,703448,22.5,2025 #43,A+,L/R,"6'0"" 185",278,208.86,Paywall,Paywall,150,150,Paywall,200,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Petry, Ethan",WAS,OF,701337,21.7,2025 #49,A,R/R,"6'4"" 235",279,209.90,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Salas, Andrew",MIA,SS,829035,18.0,2025 FA,A,S/R,"6'2"" 180",280,210.05,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Watson, Kahlil",CLE,OF,696135,22.9,2021 #16,AAA,L/R,"5'9"" 178",281,210.14,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Kelly, Antwone",PIT,P,699008,22.5,2021 FA,AA,R/R,"5'10"" 183",282,210.52,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Young, Quentin",MIN,SS,815839,19.0,2025 #54,A,R/R,"6'6"" 225",283,210.81,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Serwinowski, Adam",LAD,P,703445,21.7,2022 #453,AA,L/L,"6'5"" 191",284,211.14,Paywall,Paywall,150,150,Paywall,196,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Antonacci, Sam",CHW,IF,803011,23.0,2024 #140,AA,L/R,"6'0"" 193",284,211.14,Paywall,Paywall,150,96,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,113,150,Paywall,168,150
"Jordan, Dakota",SF,OF,702607,22.8,2024 #116,A,R/R,"6'0"" 220",286,211.48,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Bresnahan, Jacob",SF,P,815298,20.7,2023 #398,A,L/L,"6'4"" 195",287,211.57,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Thomas, Jared",COL,OF,703606,22.6,2024 #42,AA,L/L,"6'2"" 190",288,211.62,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"White, Tommy",ATH,3B,695720,23.0,2024 #40,AA,R/R,"6'1"" 220",289,211.76,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Drake, Kohl",ARI,P,684442,25.6,2022 #319,AAA,L/L,"6'5"" 220",290,212.29,Paywall,Paywall,150,150,Paywall,162,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Mendez, Hendry",MIN,OF,694230,22.3,2021 FA,AA,L/L,"6'3"" 175",291,212.86,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Cole, Zach",HOU,OF,805904,25.5,2022 #313,MLB,L/R,"6'2"" 190",291,212.86,Paywall,Paywall,150,98,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,89,Paywall,168,150
"Brito, Juan",CLE,SS,682877,24.4,2018 FA,AAA,S/R,"6'0"" 202",293,212.95,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Suero, Chris",NYM,C,801523,22.1,2022 FA,AA,R/R,"5'11"" 205",294,213.90,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Watson, Will",NYM,P,814492,23.3,2024 #203,AA,R/R,"6'1"" 180",295,214.24,Paywall,Paywall,96,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Gregory-Alford, Trey",LAA,P,807281,19.8,2024 #322,A,R/R,"6'5"" 235",296,214.67,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Bautista, Yorger",SEA,OF,829045,18.4,2025 FA,R,L/L,"6'1"" 176",296,214.67,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Cauley, Cameron",TEX,SS,695508,23.0,2021 #73,AA,R/R,"5'10"" 170",298,215.38,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Lindsey, Kellon",LAD,SS,813916,20.4,2024 #23,A,R/R,"6'0"" 175",299,215.57,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"German, Nestor",BAL,P,815148,24.0,2023 #331,AAA,R/R,"6'3"" 225",300,215.71,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Watson, Aaron",CIN,P,826209,19.1,2025 #51,,R/R,"6'5"" 205",301,215.90,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Mayer, Bryce",HOU,P,809343,24.0,2024 #493,AA,R/R,"6'3"" 210",302,216.05,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Fitz-Gerald, Devin",WAS,SS,803849,20.5,2024 #165,A,S/R,"5'10"" 185",303,216.19,Paywall,Paywall,150,150,Paywall,133,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Ramirez, Pedro",CHC,2B,699393,21.9,2021 FA,AA,S/R,"5'9"" 165",304,216.24,Paywall,Paywall,150,150,Paywall,198,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Fernandez, Dauri",CLE,2B,821171,19.0,2024 FA,A,S/R,"5'9"" 155",305,216.52,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Schreck, RJ",TOR,OF,702302,25.6,2023 #277,AAA,L/R,"6'1"" 205",306,217.19,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Valdez, Victor",TB,SS,836590,17.4,2026 FA,,R/R,"6'1"" 186",307,217.24,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Jones, Druw",ARI,OF,702258,22.2,2022 #2,A+,R/R,"6'4"" 180",308,217.33,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Rincones, Gabriel Jr.",PHI,OF,687282,25.0,2022 #93,AAA,L/R,"6'3"" 225",309,217.62,Paywall,Paywall,150,150,Paywall,168,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Sullivan, Joseph",HOU,OF,813896,23.6,2024 #223,AA,L/L,"5'11"" 198",310,217.67,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Quick, Riley",MIN,P,804981,21.8,2025 #36,,R/R,"6'6"" 255",311,217.86,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"DeBarge, Kyle",MIN,SS,814414,22.6,2024 #33,A+,R/R,"5'9"" 175",312,218.29,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Henderson, Ixan",STL,P,809100,24.1,2023 #245,AA,L/L,"6'2"" 200",313,218.38,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Jones, Brendan",MIA,OF,800957,23.8,2024 #361,AA,L/L,"5'10"" 180",314,218.48,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Meccage, Bryce",MIL,P,815501,19.9,2024 #57,A,R/R,"6'4"" 210",315,218.62,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Mendez, Miguel",SD,P,700280,23.6,2021 FA,AA,R/R,"6'2"" 165",315,218.62,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Ortiz, Deniel",STL,3B,811765,21.5,2024 #471,A+,R/R,"6'1"" 230",317,219.52,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Triantos, James",CHC,2B,701649,23.1,2021 #56,AAA,R/R,"5'11"" 195",318,219.67,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Arroyo, Edwin",CIN,SS,695490,22.5,2021 #48,AA,S/R,"5'11"" 173",318,219.67,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Lodise, Alex",ATL,SS,822676,21.9,2025 #60,A+,R/R,"6'1"" 190",318,219.67,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Oakie, Joey",CLE,P,815841,19.8,2024 #84,A,R/R,"6'3"" 200",321,219.81,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,84,150
"Padilla, Yairo",STL,SS,821107,18.7,2024 FA,R,S/R,"6'0"" 170",322,219.86,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Thompson, Sterlin",COL,OF,694514,24.7,2022 #31,AAA,L/R,"6'3"" 200",323,220.00,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Bateman, Boston",BAL,P,815348,20.4,2024 #52,A+,R/L,"6'8"" 240",324,220.05,Paywall,Paywall,150,150,Paywall,195,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Martinez, Keyner",SF,P,815212,21.5,2023 FA,A,R/R,"6'1"" 165",325,220.19,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Urbina, Jose",TB,P,808520,20.3,2023 FA,A+,R/R,"6'3"" 180",326,220.24,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Yost, Jordan",DET,SS,803723,19.2,2025 #24,,L/R,"6'0"" 170",327,220.52,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Liranzo, Thayron",DET,C,699073,22.6,2021 FA,AA,S/R,"6'2"" 195",328,220.86,Paywall,Paywall,150,150,Paywall,144,105,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Stevenson, Luke",SEA,C,806233,21.6,2025 #35,A,L/R,"6'1"" 200",329,221.24,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Morales, Luis",ATH,P,806960,23.4,2023 FA,MLB,R/R,"6'3"" 200",330,221.71,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,20,187,150,Paywall,168,150
"Thompson, J.D.",MIL,P,702505,22.4,2025 #59,,R/L,"6'0"" 199",331,221.81,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Bodine, Caden",TB,C,805207,22.2,2025 #30,A,S/R,"5'10"" 200",331,221.81,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Dorchies, Ethan",MIL,P,828475,19.3,2024 #305,A,R/R,"6'5"" 215",333,221.90,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Eyanson, Anthony",BOS,P,809254,21.4,2025 #87,,R/R,"6'2"" 208",334,222.10,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Ebel, Brady",MIL,SS,815816,18.6,2025 #32,A,L/R,"6'3"" 195",335,222.43,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Church, Nathan",STL,OF,701675,25.6,2022 #337,MLB,L/L,"5'10"" 180",336,223.48,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Compton, Brandon",MIA,OF,703680,22.3,2025 #46,A+,L/L,"6'1"" 225",337,223.57,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Janek, Walker",HOU,C,801075,23.4,2024 #28,A+,R/R,"6'0"" 190",338,223.90,Paywall,Paywall,150,150,Paywall,178,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"West, Aidan",LAD,SS,828140,18.8,2025 #135,,L/R,"6'2"" 205",339,223.95,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Montero, Edgar",ATH,SS,815911,19.2,2024 FA,R,S/R,"6'2"" 190",340,224.81,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Harber, Parks",SF,3B,692238,24.4,2024 FA,A+,R/R,"6'3"" 225",341,225.14,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Baez, Jesus",STL,SS,800305,21.0,2022 FA,A+,R/R,"5'10"" 180",342,225.24,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Crooks, Jimmy",STL,C,699625,24.6,2022 #127,MLB,L/R,"6'0"" 230",343,225.38,Paywall,Paywall,150,150,Paywall,300,93,150,Paywall,Paywall,99,150,150,Paywall,150,150,187,150,Paywall,168,150
"Morgan, Tre'",TB,1B,691003,23.6,2023 #88,AAA,L/L,"6'0"" 215",344,225.48,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Roby, Tekoah",STL,P,694358,24.4,2020 #86,AAA,R/R,"6'1"" 210",345,225.71,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Ullola, Miguel",HOU,P,699044,23.7,2021 FA,AAA,R/R,"6'1"" 205",346,225.81,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Ramirez, Ramon",KC,C,808675,20.7,2023 FA,A,R/R,"6'0"" 180",347,225.86,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Vargas, Joendry",LAD,SS,806959,20.3,2023 FA,A,R/R,"6'3"" 175",348,225.90,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Morabito, Nick",NYM,OF,703492,22.8,2022 #75,AA,R/R,"5'10"" 185",349,226.57,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Sanford, Wyatt",PIT,SS,815608,20.2,2024 #47,A,L/R,"6'1"" 175",350,226.90,Paywall,Paywall,150,150,Paywall,104,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Meyer, Noble",MIA,P,800611,21.1,2023 #10,A+,R/R,"6'5"" 185",351,227.67,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Kayfus, C.J.",CLE,1B,692216,24.3,2023 #93,MLB,L/L,"6'0"" 192",352,227.76,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,67,150,Paywall,168,150
"Nunez, Angel",CIN,OF,836585,16.9,2026 FA,,L/L,"5'10"" 160",353,227.90,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Bleis, Miguel",BOS,OF,694194,22.0,2021 FA,AA,R/R,"6'0"" 170",354,228.43,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Luis, Jansel",ARI,SS,800306,21.0,2022 FA,A+,S/R,"6'0"" 170",355,228.67,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Leiter, Cam",LAD,P,804942,22.1,2025 #65,,R/R,"6'5"" 234",356,229.10,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Petty, Chase",CIN,P,695534,22.9,2021 #26,MLB,R/R,"6'1"" 190",357,229.76,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Bennett, Jake",BOS,P,687562,25.2,2022 #45,AA,L/L,"6'6"" 234",358,230.10,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Slawinski, Johnny",LAA,P,828989,19.0,2025 #79,,L/L,"6'3"" 180",359,230.24,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Hardin, Tyson",MIL,P,824620,24.3,2024 #365,AA,R/R,"6'2"" 185",360,230.62,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Romero, Mikey",BOS,SS,702540,22.1,2022 #24,AAA,L/R,"6'0"" 175",361,230.71,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
"Espino, Daniel",CLE,P,682982,25.1,2019 #24,AAA,R/R,"6'2"" 225",362,230.76,Paywall,Paywall,150,150,Paywall,300,165,150,Paywall,Paywall,150,150,150,Paywall,150,150,187,150,Paywall,168,150
